iter	Logloss
0	0.6468843898
1	0.615509737
2	0.5913853277
3	0.5589072448
4	0.5375208409
5	0.5123499711
6	0.4947072951
7	0.4749883438
8	0.4600687134
9	0.4492451254
10	0.4337457192
11	0.4217236393
12	0.4127591596
13	0.403909392
14	0.3921415533
15	0.3866131179
16	0.3793565529
17	0.372040398
18	0.3611939364
19	0.3563841986
20	0.3498082217
21	0.3357678753
22	0.3319079327
23	0.3234417644
24	0.3178831317
25	0.3084542537
26	0.3037031554
27	0.2982411959
28	0.295501765
29	0.2891624263
30	0.2787345745
31	0.2708575683
32	0.2678256468
33	0.2602374932
34	0.2566355852
35	0.2542941735
36	0.250151072
37	0.2477068079
38	0.2451704167
39	0.2439147628
40	0.2416561779
41	0.2387297958
42	0.236995837
43	0.235963335
44	0.228127017
45	0.2266350265
46	0.2251592429
47	0.2242105048
48	0.2232025965
49	0.2185906996
50	0.2159249973
51	0.2137972639
52	0.2084336306
53	0.2072987736
54	0.2053269848
55	0.2036834744
56	0.2008922055
57	0.197746055
58	0.1926684928
59	0.1900022417
60	0.1885775021
61	0.1877066805
62	0.1869455287
63	0.1863532507
64	0.1854272745
65	0.1838770709
66	0.1796471506
67	0.1763616532
68	0.1756824458
69	0.1747701365
70	0.1740220283
71	0.1731686219
72	0.1710610122
73	0.1704878551
74	0.1687319162
75	0.16743004
76	0.1667641349
77	0.1661818267
78	0.1625555444
79	0.1615516923
80	0.1606246125
81	0.1600899213
82	0.1585320723
83	0.1557259288
84	0.1537681151
85	0.151829627
86	0.1505811115
87	0.1483796466
88	0.1472814978
89	0.1439207186
90	0.1432522723
91	0.1411235879
92	0.1399431464
93	0.1391679496
94	0.1386395695
95	0.1376110535
96	0.1365370652
97	0.1355139135
98	0.1351048736
99	0.1336978437
100	0.133115958
101	0.1324409809
102	0.1318117627
103	0.1311112565
104	0.1302399551
105	0.1296215073
106	0.1292598605
107	0.1289433244
108	0.1276538918
109	0.1266737153
110	0.1256479121
111	0.1249754353
112	0.1245693673
113	0.124222214
114	0.123281602
115	0.1214819902
116	0.1206657278
117	0.1201263462
118	0.1187045879
119	0.1182600764
120	0.1178964067
121	0.1176121058
122	0.1172458447
123	0.1169277652
124	0.1164775246
125	0.1157941559
126	0.1149509872
127	0.1146874152
128	0.113850578
129	0.1133820679
130	0.1130147806
131	0.1124733326
132	0.1121366802
133	0.1112936806
134	0.1110991939
135	0.1108629631
136	0.1105920088
137	0.109884183
138	0.1091491301
139	0.1082164121
140	0.107941436
141	0.1077816262
142	0.1075186101
143	0.107249704
144	0.1066435563
145	0.1061667745
146	0.1059701488
147	0.1054169231
148	0.1046897437
149	0.1040571867
150	0.1037113056
151	0.1035343874
152	0.1027989244
153	0.10264458
154	0.1024543877
155	0.1017339768
156	0.1014740241
157	0.1012989263
158	0.1009762346
159	0.1007436834
160	0.1004319873
161	0.1001843289
162	0.09944832481
163	0.0989326699
164	0.09876870562
165	0.09836144659
166	0.09809269834
167	0.09772868108
168	0.09751820728
169	0.09717394364
170	0.09668400172
171	0.09623286621
172	0.09544916076
173	0.09482962266
174	0.09454006363
175	0.09428529814
176	0.09393412287
177	0.09362244409
178	0.09343864087
179	0.09316930021
180	0.0929804869
181	0.09263576713
182	0.0921601289
183	0.09186589367
184	0.09168839818
185	0.09110748083
186	0.09094990034
187	0.09050259615
188	0.09023611694
189	0.08965455533
190	0.08939733623
191	0.08889856109
192	0.08876985915
193	0.08844363778
194	0.08818044904
195	0.08802657699
196	0.0875766417
197	0.0874362358
198	0.08724384611
199	0.0870109625
200	0.08671312312
201	0.08656922637
202	0.08646990527
203	0.08638351948
204	0.08600482407
205	0.08582232773
206	0.08567735421
207	0.08556853616
208	0.08537148835
209	0.08526536856
210	0.08485393472
211	0.08477568994
212	0.08469308843
213	0.08440167809
214	0.08417778283
215	0.08389473164
216	0.08377883187
217	0.08369348579
218	0.08359810805
219	0.08344444544
220	0.08327071867
221	0.08316851296
222	0.0830653997
223	0.08292285009
224	0.08282275112
225	0.08264622817
226	0.08248954981
227	0.08224313277
228	0.08201194236
229	0.08173176841
230	0.08145927592
231	0.08103071984
232	0.08089274917
233	0.08072768212
234	0.08063755717
235	0.08055447378
236	0.08035189468
237	0.08029339392
238	0.08011963941
239	0.07998602586
240	0.07981958755
241	0.07973820168
242	0.07961778892
243	0.07933846929
244	0.0792108659
245	0.07908704094
246	0.07895156474
247	0.07860708733
248	0.07828267409
249	0.0781368458
250	0.0778008974
251	0.07759053382
252	0.07752997104
253	0.07726573064
254	0.07707019168
255	0.07681886734
256	0.07675515274
257	0.07649368093
258	0.07629770368
259	0.07625075946
260	0.07602410937
261	0.07596520091
262	0.07589953353
263	0.07572712217
264	0.07554375502
265	0.07538980867
266	0.07532447324
267	0.0751403439
268	0.07501208905
269	0.07487981536
270	0.07474623275
271	0.07467753416
272	0.07459024171
273	0.07436863356
274	0.07404930018
275	0.0738223765
276	0.07375846089
277	0.07369925955
278	0.07365548771
279	0.07359951395
280	0.07351464139
281	0.07341573936
282	0.07336591918
283	0.07322807147
284	0.07305589019
285	0.07294670715
286	0.07291061188
287	0.0726793706
288	0.07257159623
289	0.07239581699
290	0.07217929324
291	0.07194239404
292	0.07190008898
293	0.07180218169
294	0.07162016255
295	0.07152644441
296	0.07141537287
